Term	Database	ID	Input number	Background number	PValue	p.adjust	Input	Hyperlink
B cell receptor signaling pathway	KEGG PATHWAY	hsa04662	1	82	0.176797361283	0.206210303848	LILRA2	http://www.genome.jp/kegg-bin/show_pathway?hsa04662/hsa:11027%09red
Peroxisome	KEGG PATHWAY	hsa04146	1	83	0.178726758852	0.207709476504	ACSL1	http://www.genome.jp/kegg-bin/show_pathway?hsa04146/hsa:2180%09red
Insulin secretion	KEGG PATHWAY	hsa04911	1	86	0.18448815441	0.211923169358	CREB5	http://www.genome.jp/kegg-bin/show_pathway?hsa04911/hsa:9586%09red
ECM-receptor interaction	KEGG PATHWAY	hsa04512	1	86	0.18448815441	0.211923169358	THBS1	http://www.genome.jp/kegg-bin/show_pathway?hsa04512/hsa:7057%09red
Colorectal cancer	KEGG PATHWAY	hsa05210	1	86	0.18448815441	0.211923169358	AREG	http://www.genome.jp/kegg-bin/show_pathway?hsa05210/hsa:374%09red
PD-L1 expression and PD-1 checkpoint pathway in cancer	KEGG PATHWAY	hsa05235	1	89	0.190209568898	0.217526900601	TLR4	http://www.genome.jp/kegg-bin/show_pathway?hsa05235/hsa:7099%09red
Longevity regulating pathway	KEGG PATHWAY	hsa04211	1	89	0.190209568898	0.217526900601	CREB5	http://www.genome.jp/kegg-bin/show_pathway?hsa04211/hsa:9586%09red
Hypertrophic cardiomyopathy (HCM)	KEGG PATHWAY	hsa05410	1	90	0.192107869863	0.219115077032	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05410/hsa:7124%09red
Morphine addiction	KEGG PATHWAY	hsa05032	1	91	0.19400176911	0.220689843168	PDE4D	http://www.genome.jp/kegg-bin/show_pathway?hsa05032/hsa:5144%09red
Th1 and Th2 cell differentiation	KEGG PATHWAY	hsa04658	1	92	0.195891276735	0.222446960377	JAG1	http://www.genome.jp/kegg-bin/show_pathway?hsa04658/hsa:182%09red
Dilated cardiomyopathy (DCM)	KEGG PATHWAY	hsa05414	1	96	0.203405592104	0.228764789725	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05414/hsa:7124%09red
Glycerophospholipid metabolism	KEGG PATHWAY	hsa00564	1	97	0.205273292237	0.229266274447	LPCAT2	http://www.genome.jp/kegg-bin/show_pathway?hsa00564/hsa:54947%09red
Aldosterone synthesis and secretion	KEGG PATHWAY	hsa04925	1	98	0.207136660837	0.230748093679	CREB5	http://www.genome.jp/kegg-bin/show_pathway?hsa04925/hsa:9586%09red
C-type lectin receptor signaling pathway	KEGG PATHWAY	hsa04625	1	104	0.218226465043	0.240814490937	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa04625/hsa:7124%09red
HIF-1 signaling pathway	KEGG PATHWAY	hsa04066	1	109	0.227350659717	0.249602000881	TLR4	http://www.genome.jp/kegg-bin/show_pathway?hsa04066/hsa:7099%09red
Neurotrophin signaling pathway	KEGG PATHWAY	hsa04722	1	119	0.24528421503	0.267695970718	CDC42	http://www.genome.jp/kegg-bin/show_pathway?hsa04722/hsa:998%09red
Sphingolipid signaling pathway	KEGG PATHWAY	hsa04071	1	119	0.24528421503	0.267695970718	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa04071/hsa:7124%09red
Lysosome	KEGG PATHWAY	hsa04142	1	123	0.25234179721	0.274238347431	SLC11A1	http://www.genome.jp/kegg-bin/show_pathway?hsa04142/hsa:6556%09red
Platelet activation	KEGG PATHWAY	hsa04611	1	124	0.254095968246	0.275680234682	FCGR2A	http://www.genome.jp/kegg-bin/show_pathway?hsa04611/hsa:2212%09red
Dopaminergic synapse	KEGG PATHWAY	hsa04728	1	131	0.26626169817	0.287428946142	CREB5	http://www.genome.jp/kegg-bin/show_pathway?hsa04728/hsa:9586%09red
Vascular smooth muscle contraction	KEGG PATHWAY	hsa04270	1	132	0.267983561341	0.28880433929	ADM	http://www.genome.jp/kegg-bin/show_pathway?hsa04270/hsa:133%09red
FoxO signaling pathway	KEGG PATHWAY	hsa04068	1	132	0.267983561341	0.28880433929	BCL6	http://www.genome.jp/kegg-bin/show_pathway?hsa04068/hsa:604%09red
Insulin signaling pathway	KEGG PATHWAY	hsa04910	1	137	0.276533107259	0.297273090304	PYGL	http://www.genome.jp/kegg-bin/show_pathway?hsa04910/hsa:5836%09red
Parkinson disease	KEGG PATHWAY	hsa05012	1	142	0.284983872041	0.304580940292	PPIF	http://www.genome.jp/kegg-bin/show_pathway?hsa05012/hsa:10105%09red
Cell adhesion molecules (CAMs)	KEGG PATHWAY	hsa04514	1	146	0.291674120508	0.310445227274	VCAN	http://www.genome.jp/kegg-bin/show_pathway?hsa04514/hsa:1462%09red
Breast cancer	KEGG PATHWAY	hsa05224	1	147	0.2933369846	0.311957716517	JAG1	http://www.genome.jp/kegg-bin/show_pathway?hsa05224/hsa:182%09red
Adrenergic signaling in cardiomyocytes	KEGG PATHWAY	hsa04261	1	149	0.296651137447	0.314703920482	CREB5	http://www.genome.jp/kegg-bin/show_pathway?hsa04261/hsa:9586%09red
Oxytocin signaling pathway	KEGG PATHWAY	hsa04921	1	153	0.303233389397	0.320369428601	KCNJ2	http://www.genome.jp/kegg-bin/show_pathway?hsa04921/hsa:3759%09red
mTOR signaling pathway	KEGG PATHWAY	hsa04150	1	153	0.303233389397	0.320369428601	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa04150/hsa:7124%09red
Hippo signaling pathway	KEGG PATHWAY	hsa04390	1	154	0.304869409206	0.321834319047	AREG	http://www.genome.jp/kegg-bin/show_pathway?hsa04390/hsa:374%09red
Cushing syndrome	KEGG PATHWAY	hsa04934	1	155	0.306501629271	0.322501714322	CREB5	http://www.genome.jp/kegg-bin/show_pathway?hsa04934/hsa:9586%09red
Hepatitis C	KEGG PATHWAY	hsa05160	1	155	0.306501629271	0.322501714322	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05160/hsa:7124%09red
RNA transport	KEGG PATHWAY	hsa03013	1	165	0.32261675441	0.338629465573	EIF1AY	http://www.genome.jp/kegg-bin/show_pathway?hsa03013/hsa:9086%09red
Tight junction	KEGG PATHWAY	hsa04530	1	170	0.330534849227	0.34581504907	CDC42	http://www.genome.jp/kegg-bin/show_pathway?hsa04530/hsa:998%09red
Alzheimer disease	KEGG PATHWAY	hsa05010	1	171	0.332107447054	0.347178773662	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05010/hsa:7124%09red
Alcoholism	KEGG PATHWAY	hsa05034	1	180	0.346097399851	0.360926148591	CREB5	http://www.genome.jp/kegg-bin/show_pathway?hsa05034/hsa:9586%09red
Axon guidance	KEGG PATHWAY	hsa04360	1	181	0.347633832981	0.362235577177	CDC42	http://www.genome.jp/kegg-bin/show_pathway?hsa04360/hsa:998%09red
Kaposi sarcoma-associated herpesvirus infection	KEGG PATHWAY	hsa05167	1	186	0.355262598868	0.36869569794	CXCL1	http://www.genome.jp/kegg-bin/show_pathway?hsa05167/hsa:2919%09red
Calcium signaling pathway	KEGG PATHWAY	hsa04020	1	193	0.365794833858	0.37810523692	PPIF	http://www.genome.jp/kegg-bin/show_pathway?hsa04020/hsa:10105%09red
Regulation of actin cytoskeleton	KEGG PATHWAY	hsa04810	1	214	0.396381110734	0.408411847322	CDC42	http://www.genome.jp/kegg-bin/show_pathway?hsa04810/hsa:998%09red
Endocytosis	KEGG PATHWAY	hsa04144	1	244	0.437560615805	0.448334546774	CDC42	http://www.genome.jp/kegg-bin/show_pathway?hsa04144/hsa:998%09red
Herpes simplex virus 1 infection	KEGG PATHWAY	hsa05168	1	492	0.687039951137	0.687572953426	TNF	http://www.genome.jp/kegg-bin/show_pathway?hsa05168/hsa:7124%09red
